Nome_Excel,Nome_JSON,ProductID
Headset SteelSeries Siberia,SteelSeries Arctis 5 Headset,P034
Smartphone iPhone 12,Apple iPhone 12 Smartphone,P035
Rato Logitech G203,Logitech G203 Lightsync Mouse,P036
Teclado Corsair K55,Corsair K55 RGB Keyboard,P037
"Monitor 22"" AOC","AOC 22V2H 22"" Monitor",P038
Headset JBL Quantum 100,JBL Quantum 100 Headset,P039
Smartphone Samsung Galaxy S20,Samsung Galaxy S20 Smartphone,P040
Rato Razer Viper,Razer Viper Ultimate Mouse,P041
Teclado Mecânico Redragon K552,Redragon K552 Kumara Keyboard,P042
Monitor 27 Polegadas LG,"LG 27QN600 27"" Monitor",P043
Headset Logitech G Pro X,Logitech G Pro X Headset,P044
Smartphone iPhone 13,Apple iPhone 13 Smartphone,P045
Rato Corsair Harpoon,Corsair Harpoon RGB Mouse,P046
Teclado Gaming SteelSeries Apex 5,SteelSeries Apex 5 Keyboard,P047
"Monitor 24"" BenQ","BenQ Zowie XL2411P 24"" Monitor",P048
Headset HyperX Cloud Stinger,HyperX Cloud Stinger Core Headset,P049
Smartphone Xiaomi 11T,Xiaomi 11T Pro Smartphone,P050
Rato SteelSeries Aerox 3,SteelSeries Aerox 3 Wireless Mouse,P051
Teclado Logitech K380,Logitech K380 Bluetooth Keyboard,P052
Monitor 32 Polegadas Dell,"Dell P3221D 32"" Monitor",P053
Headset Razer BlackShark V2,Razer BlackShark V2 X Headset,P054
Smartphone Huawei Mate 40,Huawei Mate 40 Pro Smartphone,P055
Rato HyperX Pulsefire Dart,HyperX Pulsefire Dart Mouse,P056
Teclado Ducky Shine 7,Ducky Shine 7 Keyboard,P057
"Monitor 27"" Acer Predator","Acer Predator XB273U 27"" Monitor",P058
Headset Corsair HS60,Corsair HS60 Pro Headset,P059
Smartphone Google Pixel 5,Google Pixel 5 Smartphone,P060
Rato Logitech G305,Logitech G305 Lightspeed Mouse,P061
Teclado Razer Ornata V2,Razer Ornata V2 Keyboard,P062
Monitor 24 Polegadas HP,"HP 24mh 24"" Monitor",P063
Headset Sennheiser GSP 300,Sennheiser GSP 300 Headset,P064
Smartphone Samsung Galaxy Note 20,Samsung Galaxy Note 20 Ultra Smartphone,P065
Webcam Logitech C920,Logitech C920 HD Pro Webcam,P066
Placa Gráfica NVIDIA RTX 3060,NVIDIA GeForce RTX 3060 Graphics Card,P067
SSD Samsung 970 EVO 1TB,Samsung 970 EVO Plus 1TB SSD,P068
Impressora HP DeskJet 2720,HP DeskJet 2720 Printer,P069
Smartwatch Apple Watch Series 6,Apple Watch Series 6 Smartwatch,P070
Webcam Razer Kiyo,Razer Kiyo Streaming Webcam,P071
Placa Gráfica ASUS RTX 3070,ASUS ROG Strix RTX 3070 Graphics Card,P072
SSD Kingston A2000 500GB,Kingston A2000 500GB SSD,P073
Impressora Epson EcoTank L3150,Epson EcoTank L3150 Printer,P074
Smartwatch Samsung Galaxy Watch 4,Samsung Galaxy Watch 4 Smartwatch,P075
Rato Microsoft Surface Precision,Microsoft Surface Precision Mouse,P076
Teclado Mecânico Kinesis Freestyle,Kinesis Freestyle Edge Keyboard,P077
"Monitor 34"" LG UltraWide","LG 34WN80C 34"" UltraWide Monitor",P078
Headset Bose QuietComfort 35,Bose QuietComfort 35 II Headphones,P079
Smartphone OnePlus 9,OnePlus 9 Smartphone,P080
Rato ASUS ROG Chakram,ASUS ROG Chakram Mouse,P081
Teclado Gaming Cooler Master CK552,Cooler Master CK552 Keyboard,P082
Monitor 27 Polegadas MSI,"MSI Optix MAG272CQR 27"" Monitor",P083
Headset Sony WH-CH710N,Sony WH-CH710N Headphones,P084
Smartphone Oppo Find X3,Oppo Find X3 Pro Smartphone,P085
Webcam Logitech StreamCam,Logitech StreamCam Webcam,P086
Placa Gráfica MSI RTX 3080,MSI GeForce RTX 3080 Graphics Card,P087
SSD Crucial MX500 1TB,Crucial MX500 1TB SSD,P088
Impressora Canon PIXMA G6020,Canon PIXMA G6020 Printer,P089
Smartwatch Huawei Watch GT 3,Huawei Watch GT 3 Smartwatch,P090
Rato HP Spectre 700,HP Spectre 700 Mouse,P091
Teclado Logitech Craft,Logitech Craft Advanced Keyboard,P092
"Monitor 24"" Philips","Philips 243V7Q 24"" Monitor",P093
Headset JBL Live 650BTNC,JBL Live 650BTNC Headphones,P094
Smartphone Vivo Y70,Vivo Y70 Smartphone,P095
Rato Corsair Scimitar,Corsair Scimitar RGB Elite Mouse,P096
Teclado Gaming Anne Pro 2,Anne Pro 2 Keyboard,P097
"Monitor 32"" Samsung Odyssey G5","Samsung Odyssey G5 32"" Monitor",P098
Headset SteelSeries Arctis 9,SteelSeries Arctis 9 Wireless Headset,P099
Smartphone Nokia 8.3,Nokia 8.3 5G Smartphone,P100
Webcam Microsoft LifeCam HD,Microsoft LifeCam HD-3000 Webcam,P101
Placa Gráfica Gigabyte RTX 3060 Ti,Gigabyte RTX 3060 Ti Graphics Card,P102
SSD WD Blue SN550 1TB,WD Blue SN550 1TB SSD,P103
Impressora Brother HL-L2350DW,Brother HL-L2350DW Printer,P104
Smartwatch Fitbit Versa 3,Fitbit Versa 3 Smartwatch,P105
Rato Razer Basilisk V3,Razer Basilisk V3 Mouse,P106
Teclado Corsair K100 RGB,Corsair K100 RGB Optical Keyboard,P107
"Monitor 27"" Dell Alienware","Dell Alienware AW2721D 27"" Monitor",P108
Headset HyperX Cloud Alpha,HyperX Cloud Alpha S Headset,P109
Smartphone Samsung Galaxy Z Fold 3,Samsung Galaxy Z Fold 3 Smartphone,P110
Rato Logitech G703,Logitech G703 Lightspeed Mouse,P111
Teclado Gaming G.Skill Ripjaws KM570,G.Skill Ripjaws KM570 Keyboard,P112
Monitor 24 Polegadas ASUS ROG,"ASUS ROG Swift PG259QN 24"" Monitor",P113
Headset Razer Barracuda X,Razer Barracuda X Headset,P114
Smartphone iPhone 14,Apple iPhone 14 Smartphone,P115
Webcam Logitech Brio,Logitech Brio Ultra HD Webcam,P116
Placa Gráfica NVIDIA GTX 1660 Super,NVIDIA GTX 1660 Super Graphics Card,P117
SSD Samsung 980 Pro 2TB,Samsung 980 Pro 2TB SSD,P118
Impressora HP LaserJet Pro M15w,HP LaserJet Pro M15w Printer,P119
Smartwatch Garmin Forerunner 245,Garmin Forerunner 245 Smartwatch,P120
Rato SteelSeries Sensei 310,SteelSeries Sensei 310 Mouse,P121
Teclado Ducky One 3,Ducky One 3 Matcha Keyboard,P122
Monitor 27 Polegadas AOC Agon,"AOC Agon AG273QCG 27"" Monitor",P123
Headset Corsair Virtuoso RGB,Corsair Virtuoso RGB Wireless Headset,P124
Smartphone Xiaomi 12,Xiaomi 12 Pro Smartphone,P125
Rato HyperX Pulsefire Haste,HyperX Pulsefire Haste Mouse,P126
Teclado Logitech G915 TKL,Logitech G915 TKL Lightspeed Keyboard,P127
"Monitor 32"" HP Omen","HP Omen 32"" Monitor",P128
Headset Sennheiser Momentum 3,Sennheiser Momentum 3 Wireless Headphones,P129
Smartphone Google Pixel 6,Google Pixel 6 Pro Smartphone,P130
Rato Corsair Katar Pro,Corsair Katar Pro XT Mouse,P131
Teclado Gaming Razer Cynosa V2,Razer Cynosa V2 Keyboard,P132
"Monitor 24"" LG UltraGear","LG UltraGear 24GN600 24"" Monitor",P133
Headset SteelSeries Arctis 1,SteelSeries Arctis 1 Wireless Headset,P134
Smartphone Huawei P40,Huawei P40 Pro Smartphone,P135
Webcam Razer Kiyo Pro,Razer Kiyo Pro Ultra Webcam,P136
Placa Gráfica ASUS TUF RTX 3090,ASUS TUF Gaming RTX 3090 Graphics Card,P137
SSD Kingston NV2 1TB,Kingston NV2 1TB SSD,P138
Impressora Epson WorkForce WF-110,Epson WorkForce WF-110 Printer,P139
Smartwatch Apple Watch Series 7,Apple Watch Series 7 Smartwatch,P140
Rato Logitech MX Vertical,Logitech MX Vertical Mouse,P141
Teclado Corsair K65 Mini,Corsair K65 RGB Mini Keyboard,P142
"Monitor 27"" BenQ Mobiuz","BenQ Mobiuz EX2710 27"" Monitor",P143
Headset JBL Quantum 400,JBL Quantum 400 Headset,P144
Smartphone Samsung Galaxy S21,Samsung Galaxy S21 Ultra Smartphone,P145
Rato Razer Naga Pro,Razer Naga Pro Mouse,P146
Teclado Gaming Keychron K4,Keychron K4 Wireless Keyboard,P147
Monitor 32 Polegadas Acer,"Acer 32"" Predator XB323U Monitor",P148
Headset HyperX Cloud Flight,HyperX Cloud Flight Wireless Headset,P149
Smartphone OnePlus 10 Pro,OnePlus 10 Pro Smartphone,P150
Rato SteelSeries Prime,SteelSeries Prime Wireless Mouse,P151
Teclado Logitech K780,Logitech K780 Multi-Device Keyboard,P152
Monitor 24 Polegadas Dell UltraSharp,"Dell UltraSharp U2422H 24"" Monitor",P153
Headset Bose SoundLink,Bose SoundLink Around-Ear Headphones,P154
Smartphone Oppo Reno 6,Oppo Reno 6 Pro Smartphone,P155
Rato Logitech G604,Logitech G604 Lightspeed Mouse,P156
Teclado Corsair Strafe RGB,Corsair Strafe RGB MK.2 Keyboard,P157
"Monitor 28"" Samsung Odyssey G7","Samsung Odyssey G7 28"" Monitor",P158
Headset Razer Hammerhead,Razer Hammerhead True Wireless Earbuds,P159
Smartphone Samsung Galaxy S22,Samsung Galaxy S22 Smartphone,P160
Rato Razer Orochi V2,Razer Orochi V2 Mouse,P161
Teclado Ducky Mecha Mini,Ducky Mecha Mini Keyboard,P162
"Monitor 24"" AOC Gaming","AOC 24G2U 24"" Monitor",P163
Headset Sony WH-1000XM4,Sony WH-1000XM4 Headphones,P164
Smartphone iPhone 14 Pro,Apple iPhone 14 Pro Smartphone,P165
Rato HyperX Pulsefire Surge,HyperX Pulsefire Surge Mouse,P166
Teclado Logitech G613,Logitech G613 Wireless Keyboard,P167
"Monitor 27"" LG UltraFine","LG 27GP950 27"" Monitor",P168
Headset Corsair HS70,Corsair HS70 Pro Headset,P169
Smartphone Xiaomi 13,Xiaomi 13 Smartphone,P170
Rato SteelSeries Rival 5,SteelSeries Rival 5 Mouse,P171
Teclado Razer Pro Type,Razer Pro Type Ultra Keyboard,P172
"Monitor 27"" ASUS ProArt","ASUS ProArt PA278CV 27"" Monitor",P173
Headset Sennheiser HD 560S,Sennheiser HD 560S Headphones,P174
Smartphone Google Pixel 7,Google Pixel 7 Smartphone,P175
